top10_teacher_student_pairs summary
teacher_pkl=/slurm-storage/shucli/PROJECT_FOLDER/DATA/DMD2_OT/model_checkpoints/mnist_uncond_edm_teacher_runs/00001-mnist-32x32-uncond-adm-edm-gpus1-batch64-fp32-mnist_uncond_edm_teacher/network-snapshot-008192.pkl
student_ckpt_dir=/slurm-storage/shucli/PROJECT_FOLDER/DMD2/experiments/MNISTUncond/checkpoint_model_048000
train_lmdb=/slurm-storage/shucli/PROJECT_FOLDER/DATA/DMD2_OT/model_checkpoints/mnist-32x32_lmdb
num_samples=800
top_k=20
teacher_num_steps=8
seed=0

[closest]
rank	pair_idx	pair_dist	train1_idx	train1_dist	train2_idx	train2_dist
1	84	2.42835307	25751	5.69575739	25322	5.89501667
2	176	2.99713564	60537	5.04143000	40908	5.12253428
3	39	3.08054972	34938	5.30707455	39300	5.35501146
4	55	3.09095263	51767	6.02612734	59619	6.56776190
5	19	3.28405690	33580	5.71283436	30043	5.77197313
6	296	3.29194283	35252	4.81457949	64864	4.87444925
7	138	3.38126802	13785	5.26649427	15451	5.27718019
8	575	3.43885350	62235	4.95618010	39843	5.73922634
9	634	3.54313517	47041	5.91748285	56910	5.91760635
10	270	3.54421353	36458	11.13250256	26526	11.13899231
11	543	3.57442641	3503	9.12756824	30005	9.27496147
12	441	3.59229493	31332	5.45660496	102	5.66185856
13	473	3.60324144	16495	6.16908550	62746	6.23996258
14	449	3.61966252	15578	7.16397285	47735	7.19579172
15	668	3.72344494	2929	9.54878044	13599	9.64261246
16	137	3.73068047	3379	5.61561728	69950	5.72635460
17	350	3.85039687	13266	5.16612434	35945	5.23540115
18	168	3.87286949	14986	5.16660881	18452	5.26911259
19	643	3.88062429	43293	11.50917244	52335	11.80252838
20	5	3.91644096	50830	5.10794115	65399	5.54555464

[farthest]
rank	pair_idx	pair_dist	train1_idx	train1_dist	train2_idx	train2_dist
1	759	22.67556381	34538	12.44001198	23980	13.36430836
2	669	22.34650612	17359	13.46865940	63161	13.72546673
3	180	21.90073586	52625	11.50534821	29211	11.60927486
4	260	21.21327400	66766	10.64673805	35311	10.97216606
5	191	20.48744392	23390	9.62976074	54664	9.91682339
6	463	20.42540932	49518	16.15512848	21061	16.17555809
7	488	20.27551460	13084	15.64784241	60011	15.72435188
8	349	19.93240356	60961	13.82057571	32874	14.33238029
9	213	19.76086998	23657	11.77520752	55343	12.02138424
10	609	19.68178940	54512	13.52391815	62763	13.67240143
11	259	19.60538864	23049	12.06609154	27240	12.40153122
12	678	19.60217285	5323	15.36513233	61128	15.60408401
13	671	19.60087585	4187	13.97807121	62254	14.37910557
14	455	19.44167137	7685	10.83597374	18443	11.81877613
15	136	19.17265892	17772	11.21976185	62862	11.87612057
16	388	19.16146278	45142	9.62405491	67892	10.49968052
17	736	18.97224808	40484	9.84870911	45265	10.58688545
18	145	18.81097031	9711	11.82430077	35837	12.18272114
19	59	18.67560959	67232	5.60099030	21424	5.68010139
20	63	18.61985779	37384	5.34287024	55214	5.36622667

