top10_teacher_student_pairs summary
teacher_pkl=/slurm-storage/shucli/PROJECT_FOLDER/DATA/DMD2_OT/model_checkpoints/edm-imagenet-64x64-cond-adm.pkl
student_ckpt_dir=/slurm-storage/shucli/PROJECT_FOLDER/DMD2/experiments/imagenet/checkpoint_model_202000
train_lmdb=/slurm-storage/shucli/PROJECT_FOLDER/DATA/DMD2_OT/model_checkpoints/imagenet-64x64_lmdb
num_samples=500
top_k=20
teacher_num_steps=8
class_idx=207
class_subset_size=1300
seed=0

[closest]
rank	pair_idx	pair_dist	train1_idx	train1_dist	train2_idx	train2_dist
1	45	13.50594330	265466	36.57614517	265011	36.76169205
2	96	15.92428589	265445	34.74004745	264559	34.83592224
3	369	17.47407532	264540	32.63554001	265445	34.02442551
4	307	17.91114044	265278	39.35838699	264647	44.91668320
5	482	17.99266052	264265	50.75561905	264572	50.80762863
6	206	17.99397278	264559	38.59584808	265445	38.69788742
7	378	19.34981728	264697	38.05558014	264750	38.38937759
8	420	19.38242912	264539	38.85119629	264884	40.16613388
9	366	19.51499939	264622	36.10174942	264777	36.47177124
10	367	19.75136757	264736	44.87174225	265099	46.69279861
11	463	20.01517105	265445	36.33372116	265137	37.88210297
12	267	20.28370476	264622	32.36430740	264736	33.05758667
13	343	20.45939827	264884	40.08991623	264759	40.85477448
14	71	20.60456848	264382	38.46820450	264539	40.28879929
15	498	20.67074013	264350	42.77003860	265445	43.41042709
16	290	20.71158791	264598	41.93073273	264897	44.31554413
17	26	20.71471786	264959	35.67005157	264299	38.42048645
18	118	21.05296898	264648	40.08353043	264825	40.41725922
19	303	21.25354576	265473	41.88240814	264913	42.11352921
20	380	21.47854805	265179	47.18202591	264880	48.56289673

[farthest]
rank	pair_idx	pair_dist	train1_idx	train1_dist	train2_idx	train2_dist
1	377	58.12522888	265181	56.69430161	264461	57.55865479
2	103	53.44283676	265091	59.53388214	265042	62.10221863
3	312	52.60543442	264959	44.12925339	264897	45.65226746
4	279	52.18972778	265533	59.11757278	264663	60.33182144
5	121	51.30446243	265059	57.03256607	264622	58.35337067
6	119	50.18461609	264628	65.95436096	265164	68.35227966
7	287	50.02100372	265117	58.01652145	264265	58.04090118
8	207	49.57768631	264546	60.23181534	265102	64.08773041
9	117	49.56209183	264947	67.35062408	264478	67.86708832
10	392	49.06558990	264499	57.08368683	265018	60.66957855
11	382	48.89241409	265470	62.91141129	264431	65.37281799
12	182	48.87275696	264676	57.83283234	265468	58.57783127
13	436	48.56706238	264893	61.92255020	264734	63.07867432
14	194	48.38737106	264959	53.35058975	264643	53.57881546
15	304	48.16189194	265341	63.72738647	265329	64.56083679
16	115	47.88277817	264893	61.11462402	264851	61.36368179
17	391	47.79820633	265510	63.32644272	265114	63.55655670
18	355	47.69631577	264691	69.68714142	264640	71.69772339
19	122	47.64833069	264897	57.34749603	265231	58.09922791
20	309	47.53590012	265445	62.09759903	264251	62.69063950

